Movie_name,Genre,reviews
Gulabo sitabo,Drama,Average story. Not so good acting. Music and story line was not good. Could not understand movie at all.
Gulabo sitabo,Drama,best movie ever
Gulabo sitabo,Drama,this movie is mostly drama movie and it have 1 percent comedy
Gulabo sitabo,Drama,Not so good.. one time watch.. story is boring
Gulabo sitabo,Drama,"Amazing movie,must watch movie and ayushman khurana is awesome his acting is splendid."
Gulabo sitabo,Drama,Good thoughts
Angrezi Medium,Drama,A nice and entertaining movie
Angrezi Medium,Drama,Very Good
Angrezi Medium,Drama,It's really a nice movie
Angrezi Medium,Drama,Average time pass movie. One can go to cienma by forgetting all their life problems and then watch the movie
Angrezi Medium,Drama,Wonderful movie without the histrionics and song and dance routines
Baaghi 3,Action,Good action movie. Story match from South Indian movie
Baaghi 3,Action,Fantastic movie. Well done Tiger.
Baaghi 3,Action,Not up to the mark.
Baaghi 3,Action,Waste full movie to watch
Baaghi 3,Action,not bad. not good one time watch .
Rizwan,Drama,Could have been a bit more interesting
Rizwan,Drama,It's a waste of time & money.
Rizwan,Drama,"spends the entire first half charting it. But both his fall and his rise from it happen in a matter of a single cut. The older films at least had a song to show such transformations, but we get nothing of that sort here, leading to plausibility issues"
Rizwan,Drama,Average Movie
Thappad,Drama,bad movie
Thappad,Drama,Awesome Movie
Thappad,Drama,Most boring movie ever made
Thappad,Drama,movie is perfect
Thappad,Drama,"Its an ok movie. Creating an unnecessary dramatic situation and making a movie out of it is not required. The makers of this movie wanted to cash in on a very sensitive subject , where not many would critize the movie. Honestly it was a very unwanted movie, wherein is one gender is shown in a bad light to make other gender look better...."
Bhoot,Horror,Best action of Vicky kausal
Bhoot,Horror,Movies has good storyline...it is an one time watch movie...
Bhoot,Horror,Great horror story. Different from other horror movies. Nice acting.
Bhoot,Horror,Different from normal horror stories of bollywood this experiment really appreciating and eagerly wanting second part
Bhoot,Horror,may be considered as gud b coz of Gud star cast
