Movie_name,Genre,reviews
BloodShot,Sci-Fi,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
BloodShot,Sci-Fi,Very nice movie awesome thanks so much for the movie
BloodShot,Sci-Fi,makes the film an absolute viewing delight.
BloodShot,Sci-Fi,Tips to you on your site for me as the best for a long shot in to get to you by
BloodShot,Sci-Fi,Good historical movie about war between humanity.
Sonic the Hedgehog,Adventure,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
Sonic the Hedgehog,Adventure,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
Sonic the Hedgehog,Adventure,The position of the outpost is brilliantly choose.
Sonic the Hedgehog,adventure,Very good story plot. One of the best flims i've ever watched.
Sonic the Hedgehog,adventure,Nice movie and drama movie review poster premiere
Bad Boys for life,Action,Very good movie for youths and teenagers. That whom loves adventure movies.
Bad Boys for life,Action,Very good direction and very good acting too. Nice movie to watch in a weekend.
Bad Boys for life,Action,"not as sequel, good for individual watch"
Bad Boys for life,Action,very good movie to watch
Bad Boys for life,Action,"I did not like Babadook, but this one is actually different. One time watch movie"
The Lasr Full measure,war,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars."
The Lasr Full measure,war,Great Movie
The Lasr Full measure,war,One time watch
The Lasr Full measure,war,Good Screenplay and direction. Story plot goes along.
The Lasr Full measure,war,Best movie watched over covid. Good family film. Happy sad emotional. I absolutely loved it
Just Mercy,Drama,The main character is a grumpy stubborn old window who doesn’t use the teaching or techniques of the law of attraction but yet gets the perfect life.
Just Mercy,Drama,"I absolutely loved it ❣It put a smile on my face , if your an avid secret fan like me by Rhonda Bryne."
Just Mercy,Drama,Good morning the story is good. The film has a good screenplay. All the actors were aptly selected and they have performed their role excellently...
Just Mercy,Drama,"Good Movie, Worth Watching it."
Just Mercy,Drama,Best comedy I've seen in a long time. Don't know what all the bad reviews are about.
Dolittle,Comedy,Enjoyed the subject matter and the fine acting by the female actors
Dolittle,Comedy,Great movie suggest you to see in theater
Dolittle,Comedy,Robert De Niro is a gifted artist. All his movies including this are amazing
Dolittle,Comedy,Interesting movie new concept
Dolittle,Comedy,It's a story about a bankrupt family who cleverly placed themselves in the house of a well-to-do businessman.
Bombshell,Biography,"Perfectly showing the side of society, we ignore"
Bombshell,Biography,One of the aweosme movie in long long time. Must watch for quality time spending
Bombshell,Biography,"Love this movie!!the humour and the suspense,everything is so good ,a movie u can recommend to anyone"
Bombshell,Biography,"The rollercoster of dark emotions
Perfect oscar deserving movie"
Bombshell,Biography,"1917 is 1st World War story, is immersive to watch and movie sequence seems to be in continuous shot single take."
The Lost city,Romance,Very nice movie awesome thanks so much for the movie
The Lost city,Romance,makes the film an absolute viewing delight.
The Lost city,Romance,Tips to you on your site for me as the best for a long shot in to get to you by
The Lost city,Romance,Good historical movie about war between humanity.
The Lost city,Romance,"This is a great movie. Indeed there are, but there are a couple of great things about it:"
Life is  Beautiful,comedy,Like other war movies (some are boring)- here the location is Afganistan and we really enjoyed Taliban-American troops engagement
Life is  Beautiful,comedy,The position of the outpost is brilliantly choose.
Life is  Beautiful,comedy,Very good story plot. One of the best flims i've ever watched.
Life is  Beautiful,comedy,Nice movie and drama movie review poster premiere
Life is  Beautiful,comedy,Very good movie for youths and teenagers. That whom loves adventure movies.
Life is  Beautiful,comedy,Very good direction and very good acting too. Nice movie to watch in a weekend.
Good will Hunting,Drama,"not as sequel, good for individual watch"
Good will Hunting,Drama,very good movie to watch
Good will Hunting,Drama,"I did not like Babadook, but this one is actually different. One time watch movie"
Good will Hunting,Drama,"I just watched this movie yesterday. This is an amazing movie. You can watch with your family. So, I gave 4.5 stars."
Good will Hunting,Drama,Great Movie
The Shawshank redemption,Drama,One time watch
